"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"C1";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C2";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C3";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C4";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C5";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C6";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C7";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C8";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C9";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C10";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C11";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C12";"2n2";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C13";"3n3";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C14";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C15";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C16";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"C";
"C17";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C18";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C19";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C20";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C21";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C22";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"C";
"C23";"47n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C24";"22n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C25";"22n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C26";"4u7";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C27";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"C";
"C28";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C29";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"C";
"C30";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"D1";"";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D3";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";
"D4";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";
"D7";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";
"D8";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";
"DEPTH";"B10k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"FB";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"GRIT";"B250k";"DUALGANG.2";"16MM_DUALGANG";"Dual-Gan Potentiometers";"";"";
"IC1";"TL072P";"TL072P";"DIL08";"OP AMP";"13";"";
"IC2";"TL074P";"TL074P";"DIL14";"OP AMP";"0";"";
"IC3";"";"PT2399_TH";"DIP16";"Delay";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"LED";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"MIX";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"R1";"1M";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R2";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R3";"RLED";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R4";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R5";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R6";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R7";"2k2";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R8";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R9";"68k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R10";"220k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R11";"39k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R12";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R13";"12k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R14";"12k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R15";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R16";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R17";"39k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R18";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R19";"22k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R20";"1k8";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R21";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R22";"2k2";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R23";"4k7";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R24";"22k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R25";"220k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R26";"4k7";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R27";"22k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R28";"47k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R29";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R30";"6k8";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R31";"4k7";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R32";"4k7";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"R33";"22k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"R";
"REG1";"LM78L.";"LM78L.";"TO92";"TO-92 Type, 100mA";"";"";
"SPD";"";"SPDT.LUGS";"SPDT.LUGS";"SPDT Switches";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"TIME";"";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"TONE";"B25k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
